title,artist,peakPos,lastPos,weeks,rank,date
Whirly Girl,Oxo,41,44,6,41,3/26/1983
Nice Girls,Melissa Manchester,42,42,8,42,3/26/1983
It Might Be You,Stephen Bishop,43,45,9,43,3/26/1983
Take The Short Way Home,Dionne Warwick,44,48,5,44,3/26/1983
The Fanatic,Felony,45,49,7,45,3/26/1983
Welcome To Heartlight,Kenny Loggins,46,53,3,46,3/26/1983
Something To Grab For,Ric Ocasek,47,47,7,47,3/26/1983
Solitaire,Laura Branigan,48,65,2,48,3/26/1983
Some Kind Of Friend,Barry Manilow,49,54,5,49,3/26/1983
Should I Stay Or Should I Go,The Clash,45,52,19,50,3/26/1983
Pass The Dutchie,Musical Youth,10,33,16,51,3/26/1983
Minimum Love,Mac McAnally,52,56,4,52,3/26/1983
Love My Way,Psychedelic Furs,53,57,4,53,3/26/1983
Let's Dance,David Bowie,54,0,1,54,3/26/1983
Outstanding,The Gap Band,55,70,3,55,3/26/1983
Straight From The Heart,Bryan Adams,56,69,3,56,3/26/1983
Swingin',John Anderson,57,61,4,57,3/26/1983
Your Love Is Driving Me Crazy,Sammy Hagar,13,34,16,58,3/26/1983
Always,Firefall,59,59,11,59,3/26/1983
Land Of A Thousand Dances,The J. Geils Band,60,60,5,60,3/26/1983
Goodnight Saigon,Billy Joel,61,71,2,61,3/26/1983
Sex (I'm A...),Berlin,62,66,4,62,3/26/1983
So Wrong,Patrick Simmons,63,72,2,63,3/26/1983
Escalator Of Life,Robert Hazard,64,68,4,64,3/26/1983
Photograph,Def Leppard,65,77,3,65,3/26/1983
Desperate But Not Serious,Adam Ant,66,75,3,66,3/26/1983
Only You,Yaz,67,67,5,67,3/26/1983
You Are In My System,The System,68,73,4,68,3/26/1983
Always Something There To Remind Me,Naked Eyes,69,79,3,69,3/26/1983
Walking In L.a.,Missing Persons,70,76,3,70,3/26/1983
Stranger In My House,Ronnie Milsap,71,0,1,71,3/26/1983
If You Wanna Get Back Your Lady,The Pointer Sisters,72,0,1,72,3/26/1983
Mornin',Jarreau,73,80,2,73,3/26/1983
Let Me Go,Heaven 17,74,74,3,74,3/26/1983
I Couldn't Say No,Robert Ellis Orral With Carlene Carter,75,0,1,75,3/26/1983
American Made,The Oak Ridge Boys,76,82,2,76,3/26/1983
Eenie Meenie,Jeffrey Osborne,77,83,2,77,3/26/1983
Smiling Islands,Robbie Patton,78,84,3,78,3/26/1983
Never Give Up,Sammy Hagar,79,0,1,79,3/26/1983
Every Home Should Have One,Patti Austin,62,85,10,80,3/26/1983
Carrie's Gone,Le Roux,81,81,2,81,3/26/1983
Wind Beneath My Wings,Lou Rawls,82,0,1,82,3/26/1983
On The Loose,Saga,26,35,17,83,3/26/1983
Mexican Radio,Wall Of Voodoo,84,90,2,84,3/26/1983
Burning Heart,Vandenberg,39,39,12,85,3/26/1983
It's Raining Men,The Weather Girls,46,46,10,86,3/26/1983
Goody Two Shoes,Adam Ant,12,55,20,87,3/26/1983
Come Give Your Love To Me,Janet Jackson,58,58,8,88,3/26/1983
I Won't Be Home Tonight,Tony Carey,89,0,1,89,3/26/1983
The One Thing,INXS,90,0,1,90,3/26/1983
The Woman In Me,Donna Summer,33,62,15,91,3/26/1983
I'm Alive,Neil Diamond,35,63,11,92,3/26/1983
You Can't Hurry Love,Phil Collins,10,64,21,93,3/26/1983
Keep It Tight,Single Bullet Theory,78,78,4,94,3/26/1983
Don't Tell Me You Love Me,Night Ranger,40,86,11,95,3/26/1983
Betcha She Don't Love You,Evelyn King,49,87,11,96,3/26/1983
I Can't Stand Still,Don Henley,48,88,11,97,3/26/1983
Tied Up,Olivia Newton-John,38,89,11,98,3/26/1983
What Love Is,Marty Balin,63,91,6,99,3/26/1983
Love Me Again,The John Hall Band,64,97,10,100,3/26/1983
Billie Jean,Michael Jackson,1,1,11,1,4/2/1983
Do You Really Want To Hurt Me,Culture Club,2,2,18,2,4/2/1983
Hungry Like The Wolf,Duran Duran,3,3,15,3,4/2/1983
You Are,Lionel Richie,4,4,12,4,4/2/1983
Back On The Chain Gang,Pretenders,5,5,17,5,4/2/1983
We've Got Tonight,Kenny Rogers And Sheena Easton,6,6,10,6,4/2/1983
Mr. Roboto,Styx,7,7,8,7,4/2/1983
Separate Ways (Worlds Apart),Journey,8,8,9,8,4/2/1983
One On One,Daryl Hall John Oates,9,9,10,9,4/2/1983
Twilight Zone,Golden Earring,10,10,19,10,4/2/1983
Come On Eileen,Dexy's Midnight Runners,11,11,11,11,4/2/1983
Jeopardy,Greg Kihn Band,12,14,10,12,4/2/1983
I Know There's Something Going On,Frida,13,13,22,13,4/2/1983
Beat It,Michael Jackson,14,15,6,14,4/2/1983
Der Kommissar,After The Fire,15,16,8,15,4/2/1983
Shame On The Moon,Bob Seger & The Silver Bullet Band,2,12,16,16,4/2/1983
Fall In Love With Me,"Earth, Wind & Fire",17,17,11,17,4/2/1983
I've Got A Rock N' Roll Heart,Eric Clapton,18,18,10,18,4/2/1983
All Right,Christopher Cross,12,19,11,19,4/2/1983
Little Too Late,Pat Benatar,20,20,9,20,4/2/1983
Change Of Heart,Tom Petty And The Heartbreakers,21,28,6,21,4/2/1983
Stray Cat Strut,Stray Cats,3,21,15,22,4/2/1983
Breaking Us In Two,Joe Jackson,18,22,12,23,4/2/1983
Little Red Corvette,Prince,24,27,6,24,4/2/1983
Poison Arrow,ABC,25,25,10,25,4/2/1983
She Blinded Me With Science,Thomas Dolby,26,31,7,26,4/2/1983
Even Now,Bob Seger & The Silver Bullet Band,27,34,4,27,4/2/1983
I Won't Hold You Back,Toto,28,35,4,28,4/2/1983
Make Love Stay,Dan Fogelberg,29,29,9,29,4/2/1983
Lies,Thompson Twins,30,30,11,30,4/2/1983
"Baby, Come To Me",Patti Austin With James Ingram,1,23,29,31,4/2/1983
Down Under,Men At Work,1,24,22,32,4/2/1983
Solitaire,Laura Branigan,33,48,3,33,4/2/1983
I Like It,Debarge,34,37,9,34,4/2/1983
Allentown,Billy Joel,17,26,19,35,4/2/1983
Whirly Girl,Oxo,36,41,7,36,4/2/1983
You And I,Eddie Rabbitt With Crystal Gayle,7,32,26,37,4/2/1983
It Might Be You,Stephen Bishop,38,43,10,38,4/2/1983
I Don't Care Anymore,Phil Collins,39,39,8,39,4/2/1983
Welcome To Heartlight,Kenny Loggins,40,46,4,40,4/2/1983
Take The Short Way Home,Dionne Warwick,41,44,6,41,4/2/1983
The Fanatic,Felony,42,45,8,42,4/2/1983
Let's Dance,David Bowie,43,54,2,43,4/2/1983
Some Kind Of Friend,Barry Manilow,44,49,6,44,4/2/1983
Dreamin' Is Easy,Steel Breeze,30,33,12,45,4/2/1983
My Kind Of Lady,Supertramp Featuring Rick Davies,31,36,10,46,4/2/1983
Minimum Love,Mac McAnally,47,52,5,47,4/2/1983
Straight From The Heart,Bryan Adams,48,56,4,48,4/2/1983
Love My Way,Psychedelic Furs,49,53,5,49,4/2/1983
Should I Stay Or Should I Go,The Clash,45,50,20,50,4/2/1983
Outstanding,The Gap Band,51,55,4,51,4/2/1983
Swingin',John Anderson,52,57,5,52,4/2/1983
So Wrong,Patrick Simmons,53,63,3,53,4/2/1983
Photograph,Def Leppard,54,65,4,54,4/2/1983
Mornin',Jarreau,55,73,3,55,4/2/1983
Goodnight Saigon,Billy Joel,56,61,3,56,4/2/1983
So Close,Diana Ross,40,40,9,57,4/2/1983
Rio,Duran Duran,58,0,1,58,4/2/1983
Stranger In My House,Ronnie Milsap,59,71,2,59,4/2/1983
Nice Girls,Melissa Manchester,42,42,9,60,4/2/1983
Escalator Of Life,Robert Hazard,61,64,5,61,4/2/1983
Sex (I'm A...),Berlin,62,62,5,62,4/2/1983
Always Something There To Remind Me,Naked Eyes,63,69,4,63,4/2/1983
You Are In My System,The System,64,68,5,64,4/2/1983
Never Give Up,Sammy Hagar,65,79,2,65,4/2/1983
Desperate But Not Serious,Adam Ant,66,66,4,66,4/2/1983
Only You,Yaz,67,67,6,67,4/2/1983
If You Wanna Get Back Your Lady,The Pointer Sisters,68,72,2,68,4/2/1983
I Couldn't Say No,Robert Ellis Orral With Carlene Carter,69,75,2,69,4/2/1983
Walking In L.a.,Missing Persons,70,70,4,70,4/2/1983
Mexican Radio,Wall Of Voodoo,71,84,3,71,4/2/1983
American Made,The Oak Ridge Boys,72,76,3,72,4/2/1983
Smiling Islands,Robbie Patton,73,78,4,73,4/2/1983
Every Home Should Have One,Patti Austin,62,80,11,74,4/2/1983
Wind Beneath My Wings,Lou Rawls,75,82,2,75,4/2/1983
Eenie Meenie,Jeffrey Osborne,76,77,3,76,4/2/1983
Flashdance...What A Feeling,Irene Cara,77,0,1,77,4/2/1983
The One Thing,INXS,78,90,2,78,4/2/1983
Gimme All Your Lovin,ZZ Top,79,0,1,79,4/2/1983
I Won't Be Home Tonight,Tony Carey,80,89,2,80,4/2/1983
Your Love Is Driving Me Crazy,Sammy Hagar,13,58,17,81,4/2/1983
Always,Firefall,59,59,12,82,4/2/1983
Try Again,Champaign,83,0,1,83,4/2/1983
Winds Of Change,Jefferson Starship,38,38,10,84,4/2/1983
I Melt With You,Modern English,85,0,1,85,4/2/1983
Something To Grab For,Ric Ocasek,47,47,8,86,4/2/1983
Love's Got A Line On You,Scandal Featuring Patty Smyth,87,0,1,87,4/2/1983
Let Me Go,Heaven 17,74,74,4,88,4/2/1983
Wind Him Up,Saga,89,0,1,89,4/2/1983
New Year's Day,U2,90,0,1,90,4/2/1983
Carrie's Gone,Le Roux,81,81,3,91,4/2/1983
Pass The Dutchie,Musical Youth,10,51,17,92,4/2/1983
Burning Heart,Vandenberg,39,85,13,93,4/2/1983
It's Raining Men,The Weather Girls,46,86,11,94,4/2/1983
Goody Two Shoes,Adam Ant,12,87,21,95,4/2/1983
Come Give Your Love To Me,Janet Jackson,58,88,9,96,4/2/1983
The Woman In Me,Donna Summer,33,91,16,97,4/2/1983
I'm Alive,Neil Diamond,35,92,12,98,4/2/1983
Land Of A Thousand Dances,The J. Geils Band,60,60,6,99,4/2/1983
On The Loose,Saga,26,83,18,100,4/2/1983
Billie Jean,Michael Jackson,1,1,12,1,4/9/1983
Do You Really Want To Hurt Me,Culture Club,2,2,19,2,4/9/1983
Hungry Like The Wolf,Duran Duran,3,3,16,3,4/9/1983
Come On Eileen,Dexy's Midnight Runners,4,11,12,4,4/9/1983
Mr. Roboto,Styx,5,7,9,5,4/9/1983
We've Got Tonight,Kenny Rogers And Sheena Easton,6,6,11,6,4/9/1983
One On One,Daryl Hall John Oates,7,9,11,7,4/9/1983
Separate Ways (Worlds Apart),Journey,8,8,10,8,4/9/1983
Jeopardy,Greg Kihn Band,9,12,11,9,4/9/1983
Beat It,Michael Jackson,10,14,7,10,4/9/1983
You Are,Lionel Richie,4,4,13,11,4/9/1983
Der Kommissar,After The Fire,12,15,9,12,4/9/1983
I Know There's Something Going On,Frida,13,13,23,13,4/9/1983
Back On The Chain Gang,Pretenders,5,5,18,14,4/9/1983
Twilight Zone,Golden Earring,10,10,20,15,4/9/1983
She Blinded Me With Science,Thomas Dolby,16,26,8,16,4/9/1983
Shame On The Moon,Bob Seger & The Silver Bullet Band,2,16,17,17,4/9/1983
I've Got A Rock N' Roll Heart,Eric Clapton,18,18,11,18,4/9/1983
Little Red Corvette,Prince,19,24,7,19,4/9/1983
Little Too Late,Pat Benatar,20,20,10,20,4/9/1983
Change Of Heart,Tom Petty And The Heartbreakers,21,21,7,21,4/9/1983
Even Now,Bob Seger & The Silver Bullet Band,22,27,5,22,4/9/1983
I Won't Hold You Back,Toto,23,28,5,23,4/9/1983
Fall In Love With Me,"Earth, Wind & Fire",17,17,12,24,4/9/1983
Poison Arrow,ABC,25,25,11,25,4/9/1983
Solitaire,Laura Branigan,26,33,4,26,4/9/1983
All Right,Christopher Cross,12,19,12,27,4/9/1983
Overkill,Men At Work,28,0,1,28,4/9/1983
Let's Dance,David Bowie,29,43,3,29,4/9/1983
Lies,Thompson Twins,30,30,12,30,4/9/1983
I Like It,Debarge,31,34,10,31,4/9/1983
It Might Be You,Stephen Bishop,32,38,11,32,4/9/1983
Welcome To Heartlight,Kenny Loggins,33,40,5,33,4/9/1983
Whirly Girl,Oxo,34,36,8,34,4/9/1983
Breaking Us In Two,Joe Jackson,18,23,13,35,4/9/1983
Make Love Stay,Dan Fogelberg,29,29,10,36,4/9/1983
Stray Cat Strut,Stray Cats,3,22,16,37,4/9/1983
Some Kind Of Friend,Barry Manilow,38,44,7,38,4/9/1983
I Don't Care Anymore,Phil Collins,39,39,9,39,4/9/1983
Rio,Duran Duran,40,58,2,40,4/9/1983
Take The Short Way Home,Dionne Warwick,41,41,7,41,4/9/1983
The Fanatic,Felony,42,42,9,42,4/9/1983
Straight From The Heart,Bryan Adams,43,48,5,43,4/9/1983
Minimum Love,Mac McAnally,44,47,6,44,4/9/1983
Swingin',John Anderson,45,52,6,45,4/9/1983
Love My Way,Psychedelic Furs,46,49,6,46,4/9/1983
Photograph,Def Leppard,47,54,5,47,4/9/1983
So Wrong,Patrick Simmons,48,53,4,48,4/9/1983
Mornin',Jarreau,49,55,4,49,4/9/1983
Stranger In My House,Ronnie Milsap,50,59,3,50,4/9/1983
Outstanding,The Gap Band,51,51,5,51,4/9/1983
Flashdance...What A Feeling,Irene Cara,52,77,2,52,4/9/1983
"Baby, Come To Me",Patti Austin With James Ingram,1,31,30,53,4/9/1983
Down Under,Men At Work,1,32,23,54,4/9/1983
My Love,Lionel Richie,55,0,1,55,4/9/1983
Goodnight Saigon,Billy Joel,56,56,4,56,4/9/1983
Always Something There To Remind Me,Naked Eyes,57,63,5,57,4/9/1983
Escalator Of Life,Robert Hazard,58,61,6,58,4/9/1983
I Couldn't Say No,Robert Ellis Orral With Carlene Carter,59,69,3,59,4/9/1983
Never Give Up,Sammy Hagar,60,65,3,60,4/9/1983
Allentown,Billy Joel,17,35,20,61,4/9/1983
You And I,Eddie Rabbitt With Crystal Gayle,7,37,27,62,4/9/1983
Mexican Radio,Wall Of Voodoo,63,71,4,63,4/9/1983
You Are In My System,The System,64,64,6,64,4/9/1983
Gimme All Your Lovin,ZZ Top,65,79,2,65,4/9/1983
Desperate But Not Serious,Adam Ant,66,66,5,66,4/9/1983
Smiling Islands,Robbie Patton,67,73,5,67,4/9/1983
If You Wanna Get Back Your Lady,The Pointer Sisters,68,68,3,68,4/9/1983
The One Thing,INXS,69,78,3,69,4/9/1983
Every Home Should Have One,Patti Austin,62,74,12,70,4/9/1983
Wind Beneath My Wings,Lou Rawls,71,75,3,71,4/9/1983
American Made,The Oak Ridge Boys,72,72,4,72,4/9/1983
Try Again,Champaign,73,83,2,73,4/9/1983
Dreamin' Is Easy,Steel Breeze,30,45,13,74,4/9/1983
Sing Me Away,Night Ranger,75,0,1,75,4/9/1983
Eenie Meenie,Jeffrey Osborne,76,76,4,76,4/9/1983
Fool Moon Fire,Walter Egan,77,0,1,77,4/9/1983
Wind Him Up,Saga,78,89,2,78,4/9/1983
I Won't Be Home Tonight,Tony Carey,79,80,3,79,4/9/1983
I Melt With You,Modern English,80,85,2,80,4/9/1983
Love's Got A Line On You,Scandal Featuring Patty Smyth,81,87,2,81,4/9/1983
She's A Beauty,The Tubes,82,0,1,82,4/9/1983
New Year's Day,U2,83,90,2,83,4/9/1983
My Kind Of Lady,Supertramp Featuring Rick Davies,31,46,11,84,4/9/1983
Reap The Wild Wind,Ultravox,85,0,1,85,4/9/1983
Should I Stay Or Should I Go,The Clash,45,50,21,86,4/9/1983
Count On Me,Gerard McMahon,87,0,1,87,4/9/1983
So Close,Diana Ross,40,57,10,88,4/9/1983
Nice Girls,Melissa Manchester,42,60,10,89,4/9/1983
Sex (I'm A...),Berlin,62,62,6,90,4/9/1983
Only You,Yaz,67,67,7,91,4/9/1983
Walking In L.a.,Missing Persons,70,70,5,92,4/9/1983
Your Love Is Driving Me Crazy,Sammy Hagar,13,81,18,93,4/9/1983
Always,Firefall,59,82,13,94,4/9/1983
Winds Of Change,Jefferson Starship,38,84,11,95,4/9/1983
Something To Grab For,Ric Ocasek,47,86,9,96,4/9/1983
Let Me Go,Heaven 17,74,88,5,97,4/9/1983
Carrie's Gone,Le Roux,81,91,4,98,4/9/1983
Pass The Dutchie,Musical Youth,10,92,18,99,4/9/1983
Burning Heart,Vandenberg,39,93,14,100,4/9/1983
Billie Jean,Michael Jackson,1,1,13,1,4/16/1983
Come On Eileen,Dexy's Midnight Runners,2,4,13,2,4/16/1983
Mr. Roboto,Styx,3,5,10,3,4/16/1983
Jeopardy,Greg Kihn Band,4,9,12,4,4/16/1983
Beat It,Michael Jackson,5,10,8,5,4/16/1983
Hungry Like The Wolf,Duran Duran,3,3,17,6,4/16/1983
One On One,Daryl Hall John Oates,7,7,12,7,4/16/1983
Separate Ways (Worlds Apart),Journey,8,8,11,8,4/16/1983
Der Kommissar,After The Fire,9,12,10,9,4/16/1983
Do You Really Want To Hurt Me,Culture Club,2,2,20,10,4/16/1983
We've Got Tonight,Kenny Rogers And Sheena Easton,6,6,12,11,4/16/1983
You Are,Lionel Richie,4,11,14,12,4/16/1983
She Blinded Me With Science,Thomas Dolby,13,16,9,13,4/16/1983
I Know There's Something Going On,Frida,13,13,24,14,4/16/1983
Let's Dance,David Bowie,15,29,4,15,4/16/1983
Even Now,Bob Seger & The Silver Bullet Band,16,22,6,16,4/16/1983
Little Red Corvette,Prince,17,19,8,17,4/16/1983
Back On The Chain Gang,Pretenders,5,14,19,18,4/16/1983
Overkill,Men At Work,19,28,2,19,4/16/1983
I Won't Hold You Back,Toto,20,23,6,20,4/16/1983
Change Of Heart,Tom Petty And The Heartbreakers,21,21,8,21,4/16/1983
Solitaire,Laura Branigan,22,26,5,22,4/16/1983
Twilight Zone,Golden Earring,10,15,21,23,4/16/1983
I've Got A Rock N' Roll Heart,Eric Clapton,18,18,12,24,4/16/1983
Shame On The Moon,Bob Seger & The Silver Bullet Band,2,17,18,25,4/16/1983
Poison Arrow,ABC,25,25,12,26,4/16/1983
Little Too Late,Pat Benatar,20,20,11,27,4/16/1983
Fall In Love With Me,"Earth, Wind & Fire",17,24,13,28,4/16/1983
It Might Be You,Stephen Bishop,29,32,12,29,4/16/1983
Whirly Girl,Oxo,30,34,9,30,4/16/1983
I Like It,Debarge,31,31,11,31,4/16/1983
Photograph,Def Leppard,32,47,6,32,4/16/1983
Welcome To Heartlight,Kenny Loggins,33,33,6,33,4/16/1983
Some Kind Of Friend,Barry Manilow,34,38,8,34,4/16/1983
Rio,Duran Duran,35,40,3,35,4/16/1983
All Right,Christopher Cross,12,27,13,36,4/16/1983
My Love,Lionel Richie,37,55,2,37,4/16/1983
Flashdance...What A Feeling,Irene Cara,38,52,3,38,4/16/1983
Straight From The Heart,Bryan Adams,39,43,6,39,4/16/1983
So Wrong,Patrick Simmons,40,48,5,40,4/16/1983
Mornin',Jarreau,41,49,5,41,4/16/1983
Minimum Love,Mac McAnally,42,44,7,42,4/16/1983
Swingin',John Anderson,43,45,7,43,4/16/1983
Love My Way,Psychedelic Furs,44,46,7,44,4/16/1983
Stranger In My House,Ronnie Milsap,45,50,4,45,4/16/1983
Take The Short Way Home,Dionne Warwick,41,41,8,46,4/16/1983
Lies,Thompson Twins,30,30,13,47,4/16/1983
Make Love Stay,Dan Fogelberg,29,36,11,48,4/16/1983
Breaking Us In Two,Joe Jackson,18,35,14,49,4/16/1983
Always Something There To Remind Me,Naked Eyes,50,57,6,50,4/16/1983
Outstanding,The Gap Band,51,51,6,51,4/16/1983
I Couldn't Say No,Robert Ellis Orral With Carlene Carter,52,59,4,52,4/16/1983
Affair Of The Heart,Rick Springfield,53,0,1,53,4/16/1983
Never Give Up,Sammy Hagar,54,60,4,54,4/16/1983
Faithfully,Journey,55,0,1,55,4/16/1983
Goodnight Saigon,Billy Joel,56,56,5,56,4/16/1983
Gimme All Your Lovin,ZZ Top,57,65,3,57,4/16/1983
Escalator Of Life,Robert Hazard,58,58,7,58,4/16/1983
Time (Clock Of The Heart),Culture Club,59,0,1,59,4/16/1983
Mexican Radio,Wall Of Voodoo,60,63,5,60,4/16/1983
The One Thing,INXS,61,69,4,61,4/16/1983
Smiling Islands,Robbie Patton,62,67,6,62,4/16/1983
Try Again,Champaign,63,73,3,63,4/16/1983
Stray Cat Strut,Stray Cats,3,37,17,64,4/16/1983
Wind Beneath My Wings,Lou Rawls,65,71,4,65,4/16/1983
Fool Moon Fire,Walter Egan,66,77,2,66,4/16/1983
If You Wanna Get Back Your Lady,The Pointer Sisters,67,68,4,67,4/16/1983
Sing Me Away,Night Ranger,68,75,2,68,4/16/1983
Every Home Should Have One,Patti Austin,62,70,13,69,4/16/1983
Wind Him Up,Saga,70,78,3,70,4/16/1983
She's A Beauty,The Tubes,71,82,2,71,4/16/1983
I Don't Care Anymore,Phil Collins,39,39,10,72,4/16/1983
The Fanatic,Felony,42,42,10,73,4/16/1983
Down Under,Men At Work,1,54,24,74,4/16/1983
Love's Got A Line On You,Scandal Featuring Patty Smyth,75,81,3,75,4/16/1983
"Baby, Come To Me",Patti Austin With James Ingram,1,53,31,76,4/16/1983
New Year's Day,U2,77,83,3,77,4/16/1983
I Melt With You,Modern English,78,80,3,78,4/16/1983
Reap The Wild Wind,Ultravox,79,85,2,79,4/16/1983
I Eat Cannibals,Total Coelo,80,0,1,80,4/16/1983
You And I,Eddie Rabbitt With Crystal Gayle,7,62,28,81,4/16/1983
You Are In My System,The System,64,64,7,82,4/16/1983
Why Me?,Planet P,83,0,1,83,4/16/1983
Desperate But Not Serious,Adam Ant,66,66,6,84,4/16/1983
Count On Me,Gerard McMahon,85,87,2,85,4/16/1983
Cool Places,Sparks & Jane Wiedlin,86,0,1,86,4/16/1983
Allentown,Billy Joel,17,61,21,87,4/16/1983
Love On My Mind Tonight,The Temptations,88,0,1,88,4/16/1983
Electric Avenue,Eddy Grant,89,0,1,89,4/16/1983
Never Gonna Let You Go,Sergio Mendes,90,0,1,90,4/16/1983
Should I Stay Or Should I Go,The Clash,45,86,22,91,4/16/1983
Nice Girls,Melissa Manchester,42,89,11,92,4/16/1983
Sex (I'm A...),Berlin,62,90,7,93,4/16/1983
Only You,Yaz,67,91,8,94,4/16/1983
Walking In L.a.,Missing Persons,70,92,6,95,4/16/1983
American Made,The Oak Ridge Boys,72,72,5,96,4/16/1983
Eenie Meenie,Jeffrey Osborne,76,76,5,97,4/16/1983
Your Love Is Driving Me Crazy,Sammy Hagar,13,93,19,98,4/16/1983
My Kind Of Lady,Supertramp Featuring Rick Davies,31,84,12,99,4/16/1983
I Won't Be Home Tonight,Tony Carey,79,79,4,100,4/16/1983
Come On Eileen,Dexy's Midnight Runners,1,2,14,1,4/23/1983
Beat It,Michael Jackson,2,5,9,2,4/23/1983
Mr. Roboto,Styx,3,3,11,3,4/23/1983
Jeopardy,Greg Kihn Band,4,4,13,4,4/23/1983
Billie Jean,Michael Jackson,1,1,14,5,4/23/1983
Der Kommissar,After The Fire,6,9,11,6,4/23/1983
One On One,Daryl Hall John Oates,7,7,13,7,4/23/1983
Separate Ways (Worlds Apart),Journey,8,8,12,8,4/23/1983
Let's Dance,David Bowie,9,15,5,9,4/23/1983
She Blinded Me With Science,Thomas Dolby,10,13,10,10,4/23/1983
Hungry Like The Wolf,Duran Duran,3,6,18,11,4/23/1983
Little Red Corvette,Prince,12,17,9,12,4/23/1983
Even Now,Bob Seger & The Silver Bullet Band,13,16,7,13,4/23/1983
Do You Really Want To Hurt Me,Culture Club,2,10,21,14,4/23/1983
Overkill,Men At Work,15,19,3,15,4/23/1983
I Won't Hold You Back,Toto,16,20,7,16,4/23/1983
You Are,Lionel Richie,4,12,15,17,4/23/1983
Solitaire,Laura Branigan,18,22,6,18,4/23/1983
We've Got Tonight,Kenny Rogers And Sheena Easton,6,11,13,19,4/23/1983
I Know There's Something Going On,Frida,13,14,25,20,4/23/1983
Back On The Chain Gang,Pretenders,5,18,20,21,4/23/1983
Change Of Heart,Tom Petty And The Heartbreakers,21,21,9,22,4/23/1983
Twilight Zone,Golden Earring,10,23,22,23,4/23/1983
I've Got A Rock N' Roll Heart,Eric Clapton,18,24,13,24,4/23/1983
Shame On The Moon,Bob Seger & The Silver Bullet Band,2,25,19,25,4/23/1983
Photograph,Def Leppard,26,32,7,26,4/23/1983
Welcome To Heartlight,Kenny Loggins,27,33,7,27,4/23/1983
Whirly Girl,Oxo,28,30,10,28,4/23/1983
It Might Be You,Stephen Bishop,29,29,13,29,4/23/1983
Some Kind Of Friend,Barry Manilow,30,34,9,30,4/23/1983
Rio,Duran Duran,31,35,4,31,4/23/1983
My Love,Lionel Richie,32,37,3,32,4/23/1983
Flashdance...What A Feeling,Irene Cara,33,38,4,33,4/23/1983
Straight From The Heart,Bryan Adams,34,39,7,34,4/23/1983
I Like It,Debarge,31,31,12,35,4/23/1983
So Wrong,Patrick Simmons,36,40,6,36,4/23/1983
Mornin',Jarreau,37,41,6,37,4/23/1983
Stranger In My House,Ronnie Milsap,38,45,5,38,4/23/1983
Affair Of The Heart,Rick Springfield,39,53,2,39,4/23/1983
Always Something There To Remind Me,Naked Eyes,40,50,7,40,4/23/1983
Faithfully,Journey,41,55,2,41,4/23/1983
Minimum Love,Mac McAnally,42,42,8,42,4/23/1983
Swingin',John Anderson,43,43,8,43,4/23/1983
Love My Way,Psychedelic Furs,44,44,8,44,4/23/1983
I Couldn't Say No,Robert Ellis Orral With Carlene Carter,45,52,5,45,4/23/1983
Time (Clock Of The Heart),Culture Club,46,59,2,46,4/23/1983
Poison Arrow,ABC,25,26,13,47,4/23/1983
Never Give Up,Sammy Hagar,48,54,5,48,4/23/1983
Little Too Late,Pat Benatar,20,27,12,49,4/23/1983
Gimme All Your Lovin,ZZ Top,50,57,4,50,4/23/1983
Fall In Love With Me,"Earth, Wind & Fire",17,28,14,51,4/23/1983
Take The Short Way Home,Dionne Warwick,41,46,9,52,4/23/1983
All Right,Christopher Cross,12,36,14,53,4/23/1983
Lies,Thompson Twins,30,47,14,54,4/23/1983
Make Love Stay,Dan Fogelberg,29,48,12,55,4/23/1983
Try Again,Champaign,56,63,4,56,4/23/1983
The One Thing,INXS,57,61,5,57,4/23/1983
She's A Beauty,The Tubes,58,71,3,58,4/23/1983
Smiling Islands,Robbie Patton,59,62,7,59,4/23/1983
Mexican Radio,Wall Of Voodoo,60,60,6,60,4/23/1983
Sing Me Away,Night Ranger,61,68,3,61,4/23/1983
Fool Moon Fire,Walter Egan,62,66,3,62,4/23/1983
Breaking Us In Two,Joe Jackson,18,49,15,63,4/23/1983
Outstanding,The Gap Band,51,51,7,64,4/23/1983
Wind Beneath My Wings,Lou Rawls,65,65,5,65,4/23/1983
Escalator Of Life,Robert Hazard,58,58,8,66,4/23/1983
Wind Him Up,Saga,67,70,4,67,4/23/1983
Stray Cat Strut,Stray Cats,3,64,18,68,4/23/1983
Love's Got A Line On You,Scandal Featuring Patty Smyth,69,75,4,69,4/23/1983
New Year's Day,U2,70,77,4,70,4/23/1983
Looking For A Stranger,Pat Benatar,71,0,1,71,4/23/1983
Reap The Wild Wind,Ultravox,72,79,3,72,4/23/1983
You Can't Run From Love,Eddie Rabbitt,73,0,1,73,4/23/1983
I Eat Cannibals,Total Coelo,74,80,2,74,4/23/1983
The Fanatic,Felony,42,73,11,75,4/23/1983
Why Me?,Planet P,76,83,2,76,4/23/1983
Easy For You To Say,Linda Ronstadt,77,0,1,77,4/23/1983
Cool Places,Sparks & Jane Wiedlin,78,86,2,78,4/23/1983
I Won't Be Home Tonight,Tony Carey,79,100,5,79,4/23/1983
Never Gonna Let You Go,Sergio Mendes,80,90,2,80,4/23/1983
Too Shy,Kajagoogoo,81,0,1,81,4/23/1983
Electric Avenue,Eddy Grant,82,89,2,82,4/23/1983
